date,clean,bad,total,ratio,z
20191022,5114,64,5178,0.012359984550019312,0.6638514341174137
20191023,5274,40,5314,0.007527286413248024,-0.41670942147558954
20191024,4985,44,5029,0.00874925432491549,-0.14348509527739764
20191025,4198,52,4250,0.01223529411764706,0.6359714390349068
20191026,1613,5,1618,0.0030902348578491965,-1.4088061941937828
20191027,2130,20,2150,0.009302325581395349,-0.019821846882362097
20191028,4559,43,4602,0.009343763581051717,-0.010556571233951196
20191029,4848,37,4885,0.007574206755373593,-0.4062183285918544
20191030,5042,48,5090,0.009430255402750491,0.008782455167367793
20191031,4989,47,5036,0.009332803812549643,-0.013007106420412171
20191101,4078,32,4110,0.007785888077858881,-0.3588877185549158
20191102,1643,15,1658,0.009047044632086852,-0.07690105878316485
20191103,2065,12,2077,0.005777563793933558,-0.8079363752534285
20191104,4811,26,4837,0.0053752325821790365,-0.8978950993660184
20191105,4824,47,4871,0.009648942722233628,0.057679561992648024
20191106,5124,37,5161,0.007169153264871149,-0.4967857370811149
20191107,4990,39,5029,0.007755020878902366,-0.365789429766801
20191108,4269,24,4293,0.005590496156533892,-0.8497635203805588
20191109,1687,7,1694,0.004132231404958678,-1.17582233122447
20191110,2312,13,2325,0.005591397849462366,-0.8495619075227517
20191111,4947,28,4975,0.005628140703517588,-0.8413464368495999
20191112,5036,36,5072,0.007097791798107256,-0.5127417114458372
20191113,5002,31,5033,0.006159348301212001,-0.7225717648098379
20191114,5553,25,5578,0.0044818931516672645,-1.0976401676590042
20191115,4381,21,4402,0.004770558836892321,-1.033096339143466
20191116,1545,16,1561,0.010249839846252402,0.19203637304869728
20191117,2172,19,2191,0.00867183934276586,-0.1607945975429807
20191118,4980,51,5031,0.010137149672033392,0.16683956008318263
20191119,5266,29,5295,0.005476864966949953,-0.8751707384529263
20191120,5156,35,5191,0.006742438836447698,-0.5921963948175768
20191121,5075,48,5123,0.009369510052703494,-0.004799822384925881
20191122,4235,50,4285,0.011668611435239206,0.5092647615593989
20191123,1657,8,1665,0.004804804804804805,-1.0254391564805225
20191124,2244,12,2256,0.005319148936170213,-0.9104350492658393
20191125,5370,28,5398,0.005187106335679882,-0.9399589428181647
20191126,5102,30,5132,0.005845674201091193,-0.7927073173337854
20191127,5103,42,5145,0.00816326530612245,-0.2745085479315601
20191128,5057,42,5099,0.008236909197881937,-0.25804223771794615
20191129,3932,35,3967,0.008822788001008318,-0.12704342859244916
20191130,1527,13,1540,0.008441558441558441,-0.21228395619794949
20191201,2091,13,2104,0.006178707224334601,-0.7182432315680138
20191202,5270,30,5300,0.005660377358490566,-0.834138523900514
20191203,5949,38,5987,0.0063470853515951225,-0.6805949431571569
20191204,5860,31,5891,0.005262264471227296,-0.9231540572338673
20191205,6395,28,6423,0.004359333644714308,-1.125043701243376
20191206,4937,23,4960,0.004637096774193548,-1.0629376155024612
20191207,1913,19,1932,0.009834368530020704,0.09913960436253819
20191208,2420,13,2433,0.005343197698314837,-0.9050578975664142
20191209,6003,30,6033,0.004972650422675286,-0.9879099338142722
20191210,6410,54,6464,0.008353960396039604,-0.2318703272758144
20191211,6183,62,6245,0.009927942353883107,0.12006212182840668
20191212,6316,63,6379,0.0098761561373256,0.10848305007850204
20191213,5130,38,5168,0.007352941176470588,-0.45569191797942743
20191214,1914,12,1926,0.006230529595015576,-0.7066560759838862
20191215,2496,17,2513,0.006764822920811779,-0.5871914545817946
20191216,6445,30,6475,0.004633204633204633,-1.063807873705652
20191217,6528,46,6574,0.0069972619409796166,-0.5352195541242253
20191218,5959,63,6022,0.010461640650946529,0.23939369855475004
20191219,5758,67,5825,0.011502145922746782,0.47204412176050664
20191220,4680,32,4712,0.006791171477079796,-0.581300083405934
20191221,1775,7,1782,0.003928170594837262,-1.2214490427088984
20191222,2425,24,2449,0.009799918334013884,0.09143675758441383
20191223,5759,52,5811,0.008948545861297539,-0.0989247633528998
20191224,5277,41,5318,0.0077096652877021435,-0.3759306542021394
20191225,2735,8,2743,0.002916514764855997,-1.4476489124861034
20191226,5331,45,5376,0.008370535714285714,-0.22816419054663137
20191227,4825,36,4861,0.00740588356305287,-0.4438543338962828
20191228,1811,17,1828,0.009299781181619256,-0.020390758641634966
20191229,2396,22,2418,0.009098428453267164,-0.0654119601043613
20191230,5954,37,5991,0.006175930562510432,-0.7188640756578996
20191231,4635,22,4657,0.004724071290530384,-1.0434906616212265
20200101,3250,14,3264,0.00428921568627451,-1.140721634981394
20200102,5666,46,5712,0.008053221288515405,-0.2991136969504066
20200103,4655,25,4680,0.005341880341880342,-0.9053524501653337
20200104,1789,11,1800,0.006111111111111111,-0.7333572966042244
20200105,2395,20,2415,0.008281573498964804,-0.24805558139746467
20200106,5437,90,5527,0.016283698208793197,1.5411690873692403
20200107,5892,45,5937,0.007579585649317837,-0.4050156417949464
20200108,6167,53,6220,0.008520900321543408,-0.19454361171655557
20200109,5992,62,6054,0.010241162867525603,0.19009625527356647
20200110,4972,42,5014,0.008376545672118069,-0.22682040184027824
20200111,1953,15,1968,0.007621951219512195,-0.39554296721827914
20200112,2528,13,2541,0.005116096025186935,-0.9558364008531182
20200113,5915,54,5969,0.009046741497738315,-0.07696883771363913
20200114,5028,20,5048,0.003961965134706815,-1.2138927965121904
20200115,5026,28,5054,0.00554016620498615,-0.8610169804492891
20200116,4844,29,4873,0.005951159450030782,-0.76912148026705
20200117,4533,35,4568,0.00766199649737303,-0.3865890953886861
20200118,1709,7,1716,0.004079254079254079,-1.1876677274752352
20200119,2143,14,2157,0.006490496059341678,-0.6485292124456277
20200120,5435,47,5482,0.008573513316307917,-0.18277967756857452
20200121,5593,31,5624,0.005512091038406828,-0.8672944108124724
20200122,5531,21,5552,0.003782420749279539,-1.2540377898975694
20200123,4421,59,4480,0.013169642857142857,0.844885930442878
20200124,2224,25,2249,0.011116051578479324,0.38571585891974225
20200125,1725,7,1732,0.0040415704387990765,-1.1960935520600748
20200126,1773,11,1784,0.00616591928251121,-0.7211025347909518
20200127,2780,35,2815,0.012433392539964476,0.6802649981716136
20200128,5987,114,6101,0.01868546139977053,2.0781882048736757
20200129,6177,71,6248,0.011363636363636364,0.44107425700496544
20200130,6336,49,6385,0.007674236491777604,-0.3838523097563237
20200131,5286,27,5313,0.005081874647092038,-0.9634880853877741
20200201,1954,21,1975,0.010632911392405063,0.27768875727574144
20200202,2771,28,2799,0.010003572704537335,0.1369725917354575
20200203,5471,52,5523,0.009415172913271772,0.00541010554519881
20200204,5464,74,5538,0.013362224629830263,0.8879460014792513
20200205,5695,68,5763,0.011799410029498525,0.5385105031561702
20200206,5792,70,5862,0.011941316956670079,0.5702399980055037
20200207,4666,40,4706,0.008499787505312367,-0.19926430440725063
20200208,1774,36,1810,0.019889502762430938,2.347404267657791
20200209,2676,31,2707,0.011451791651274473,0.4607852239098678
20200210,5365,46,5411,0.008501201256699316,-0.1989481985042863
20200211,5297,32,5329,0.006004878964158379,-0.7571101353609645
20200212,5233,45,5278,0.008525956801818871,-0.19341301458466142
20200213,5607,38,5645,0.006731620903454384,-0.5946152164778954
20200214,4311,31,4342,0.00713956701980654,-0.503401035073254
20200215,1710,7,1717,0.004076878276062901,-1.1881989421003423
20200216,2233,12,2245,0.005345211581291759,-0.9046076060209834
20200217,5442,31,5473,0.005664169559656496,-0.8332906116120846
20200218,5992,63,6055,0.010404624277456647,0.22664519666669342
20200219,6563,77,6640,0.011596385542168675,0.4931155069187184
20200220,6665,100,6765,0.014781966001478197,1.2053912272829912
20200221,6060,59,6119,0.009642098382088576,0.05614921065809361
20200222,3137,120,3257,0.0368437212158428,6.138260695981904
20200223,3873,84,3957,0.02122820318423048,2.646729247663445
20200224,6784,60,6844,0.008766803039158387,-0.1395613133360885
20200225,7046,100,7146,0.013993842709207949,1.0291718246001504
20200226,7533,132,7665,0.01722113502935421,1.750774054247338
20200227,7734,102,7836,0.013016845329249618,0.8107213658869957
20200228,6926,82,7008,0.011700913242009132,0.5164872420398019
20200229,2947,58,3005,0.01930116472545757,2.215855589338193
20200301,3815,49,3864,0.012681159420289856,0.7356641115892105
20200302,7489,127,7616,0.016675420168067227,1.628755649469414
20200303,6982,74,7056,0.010487528344671202,0.24518202376952372
20200304,7725,116,7841,0.014794031373549291,1.208088968461773
20200305,7268,87,7355,0.011828687967369137,0.5450568656021814
20200306,6449,78,6527,0.011950360042898728,0.5722619751114355
20200307,2818,54,2872,0.018802228412256268,2.104296573190039
20200308,3445,60,3505,0.017118402282453638,1.7278036592947443
20200309,6933,127,7060,0.017988668555240794,1.9223897148899496
20200310,7450,142,7592,0.018703898840885143,2.082310700544192
20200311,7612,95,7707,0.012326456468145841,0.6563547662498453
20200312,7423,87,7510,0.011584553928095872,0.4904700325555925
20200313,6500,63,6563,0.009599268627152217,0.046572747297650666
20200314,2586,46,2632,0.017477203647416412,1.8080293839188648
20200315,3258,50,3308,0.015114873035066506,1.2798271425556642
20200316,6847,75,6922,0.01083501878069922,0.3228786959468762
20200317,7310,74,7384,0.010021668472372697,0.14101869141340162
20200318,7347,56,7403,0.007564500878022423,-0.40838850161695206
20200319,7279,51,7330,0.006957708049113233,-0.5440635551413727
20200320,5984,89,6073,0.01465503046270377,1.1770092405539607
20200321,2595,32,2627,0.01218119527978683,0.6238752797320848
20200322,3269,50,3319,0.015064778547755347,1.268626330806722
20200323,7301,86,7387,0.011642073913632056,0.5033311389242601
20200324,7335,104,7439,0.0139803737061433,1.0261602403746053
20200325,7355,135,7490,0.018024032042723633,1.930296767888037
20200326,7907,164,8071,0.02031966299095527,2.443585384586993
20200327,6148,78,6226,0.012528107934468359,0.7014427636405989
20200328,2574,35,2609,0.013415101571483326,0.8997689524885498
20200329,3514,57,3571,0.01596191542985158,1.4692204853486415
20200330,7126,68,7194,0.009452321378926884,0.013716268416582657
20200331,7300,80,7380,0.01084010840108401,0.3240167029984209
20200401,7528,74,7602,0.009734280452512496,0.07676054082367961
20200402,7462,64,7526,0.008503853308530427,-0.1983552164237591
20200403,6199,60,6259,0.009586195877935773,0.043649762936018174
20200404,2746,22,2768,0.007947976878612716,-0.32264568392586634
20200405,3486,36,3522,0.010221465076660987,0.18569195333961996
20200406,6860,59,6919,0.008527243821361469,-0.19312524512363663
20200407,6922,62,6984,0.008877434135166094,-0.11482489728566533
20200408,7369,104,7473,0.013916767027967349,1.0119381878801053
20200409,7521,126,7647,0.01647704982346018,1.5844012902219569
20200410,6564,54,6618,0.008159564823209429,-0.275335952596498
20200411,2636,28,2664,0.010510510510510511,0.25032069125503215
20200412,3601,36,3637,0.009898267803134452,0.1134270792416732
20200413,6932,56,6988,0.008013737836290785,-0.30794194810745185
20200414,6586,40,6626,0.006036824630244492,-0.7499672856936437
20200415,6346,40,6386,0.006263701847792045,-0.6992389692605526
20200416,7949,27,7976,0.0033851554663991974,-1.3428638042311218
20200417,5233,43,5276,0.008150113722517059,-0.27744915916587537
20200418,97,0,97,0.0,-2.0997632387841474
